fecha_desaparicion;fecha_denuncia;fecha_conocimiento;zona;provincia;canton;distrito;circuito;subcircuito;latitud;longitud;sexo;nacionalidad;edad;rango_edad;etnia;fecha_localizacion;provincia_localizacion;latitud_localizacion;longitud_localizacion;situacion_actual;motivacion;motivacion_observada;status
2025/10/31;2025/10/31;2025/10/31;ZONA 8;GUAYAS;GUAYAQUIL;PORTETE;BATALLÓN DEL SUBURBIO;BATALLÓN DEL SUBURBIO 1;-2,2263329719806797;-79,9439497159001746;MUJER;ECUADOR;14;ADOLESCENTES;MESTIZO/A;2025/11/01;GUAYAS;-2,22637585492959289;-79,9437995122079599;ENCONTRADO;A24-CAUSAS PERSONALES;CIRCUNSTANCIAL;ENCONTRADO
2025/10/31;2025/10/31;2025/10/31;ZONA 8;GUAYAS;GUAYAQUIL;FLORIDA;BELLAVISTA;BELLAVISTA 4;-2,19168999999999992;-79,9464289999999949;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;2025/11/04;GUAYAS;-2,19106600000000018;-79,9460550000000012;ENCONTRADO;A24-CAUSAS FAMILIARES;NO RELACIONADOS A VIOLENCIA;ENCONTRADO
2025/10/31;2025/11/02;2025/11/02;ZONA 9;PICHINCHA;QUITO;QUITUMBE;QUITUMBE;QUITUMBE 1;-0,298308219150518306;-78,5395233822605547;MUJER;ECUADOR;15;ADOLESCENTES;MESTIZO/A;NO_APLICA;NO_APLICA;NO_APLICA;NO_APLICA;DESAPARECIDO;NO_APLICA;NO_APLICA;DESAPARECIDO
2025/10/31;2025/11/05;2025/11/05;ZONA 9;PICHINCHA;QUITO;QUITUMBE;GUAMANÍ;GUAMANÍ 3;-0,325064030335282028;-78,558665954847811;HOMBRE;ECUADOR;23;ADULTO;MESTIZO/A;NO_APLICA;NO_APLICA;NO_APLICA;NO_APLICA;DESAPARECIDO;NO_APLICA;NO_APLICA;DESAPARECIDO
2025/10/31;2025/11/03;2025/11/03;ZONA 9;PICHINCHA;QUITO;CALDERÓN;SAN JUAN DE CALDERÓN;SAN JUAN DE CALDERÓN 2;-0,0894082999999999961;-78,4383830999999958;HOMBRE;ECUADOR;55;ADULTO;MESTIZO/A;NO_APLICA;NO_APLICA;NO_APLICA;NO_APLICA;DESAPARECIDO;NO_APLICA;NO_APLICA;DESAPARECIDO
2025/10/31;2025/11/02;2025/11/02;ZONA 6;AZUAY;CUENCA;CUENCA NORTE;TERMINAL TERRESTRE;TERMINAL TERRESTRE 1;-2,89122499999999993;-78,9843690000000009;HOMBRE;ECUADOR;30;ADULTO;MESTIZO/A;2025/11/03;CAÑAR;-2,73671199999999981;-78,8419420000000031;FALLECIDO;FALLECIDO;ASESINATO;FALLECIDO
2025/10/31;2025/11/04;2025/11/04;ZONA 9;PICHINCHA;QUITO;QUITUMBE;ECUATORIANA;ECUATORIANA 2;-0,305009294638472817;-78,5656133929680323;MUJER;ECUADOR;16;ADOLESCENTES;OTROS;NO_APLICA;NO_APLICA;NO_APLICA;NO_APLICA;DESAPARECIDO;NO_APLICA;NO_APLICA;DESAPARECIDO
2025/10/31;2025/11/04;2025/11/04;ZONA 9;PICHINCHA;QUITO;QUITUMBE;LAS CUADRAS;LAS CUADRAS 1;-0,304391569415814467;-78,5477366917850475;HOMBRE;ECUADOR;32;ADULTO;MESTIZO/A;2025/11/04;TUNGURAHUA;-1,32942999999999989;-78,5434369999999973;ENCONTRADO;A24-CAUSAS PERSONALES;CIRCUNSTANCIAL;ENCONTRADO
2025/10/31;2025/11/01;2025/11/03;ZONA 5;GUAYAS;MILAGRO;MILAGRO;LAS PIÑAS;LAS PIÑAS 2;-2,14980100000000007;-79,5858479999999986;MUJER;ECUADOR;14;ADOLESCENTES;MESTIZO/A;NO_APLICA;NO_APLICA;NO_APLICA;NO_APLICA;DESAPARECIDO;NO_APLICA;NO_APLICA;DESAPARECIDO
2025/10/31;2025/11/05;2025/11/05;ZONA 4;MANABÍ;CHONE;CHONE;SANTA RITA;SANTA RITA 1;-0,725963135587271879;-80,0998705917828886;MUJER;ECUADOR;12;ADOLESCENTES;MESTIZO/A;NO_APLICA;NO_APLICA;NO_APLICA;NO_APLICA;DESAPARECIDO;NO_APLICA;NO_APLICA;DESAPARECIDO
